season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2
1949-50,Tri-Cities Blackhawks,Wharton Field House,29,0.453,0.4,R. Potter/R. Auerbach,D. Otten (5.2),#E13A3E,#C4D600
1950-51,Tri-Cities Blackhawks,Wharton Field House,25,0.368,0,D. McMillan/J. Logan/M. Todorovich,F. Brian (5.6),#E13A3E,#C4D600
1951-52,Milwaukee Hawks,Milwaukee Arena,17,0.258,0,D. Moore,D. Otten (5.6),#E13A3E,#C4D600
1952-53,Milwaukee Hawks,Milwaukee Arena,27,0.38,0,A. Levane,M. Hutchins (6.9),#E13A3E,#C4D600
1953-54,Milwaukee Hawks,Milwaukee Arena,21,0.292,0,A. Levane/R. Holzman,G. Ratkovicz (5.2),#E13A3E,#C4D600
1954-55,Milwaukee Hawks,Milwaukee Arena,26,0.361,0,R. Holzman,B. Pettit (10.7),#E13A3E,#C4D600
1955-56,St. Louis Hawks,Kiel Auditorium,33,0.458,0.6,R. Holzman,B. Pettit (13.8),#E13A3E,#C4D600
1956-57,St. Louis Hawks,Kiel Auditorium,34,0.472,0.8,R. Holzman/S. Martin/A. Hannum,B. Pettit (11.6),#E13A3E,#C4D600
1957-58,St. Louis Hawks,Kiel Auditorium,41,0.569,1,A. Hannum,B. Pettit (11.0),#E13A3E,#C4D600
1958-59,St. Louis Hawks,Kiel Auditorium,49,0.681,0.6,A. Phillip/E. Macauley,B. Pettit (14.8),#E13A3E,#C4D600
1959-60,St. Louis Hawks,Kiel Auditorium,46,0.613,0.8,E. Macauley,C. Hagan (11.8),#E13A3E,#C4D600
1960-61,St. Louis Hawks,Kiel Auditorium,51,0.646,0.8,P. Seymour,B. Pettit (14.9),#E13A3E,#C4D600
1961-62,St. Louis Hawks,Kiel Auditorium,29,0.363,0,P. Seymour/A. Levane/B. Pettit,B. Pettit (11.5),#E13A3E,#C4D600
1962-63,St. Louis Hawks,Kiel Auditorium,48,0.6,0.6,H. Gallatin,B. Pettit (14.3),#E13A3E,#C4D600
1963-64,St. Louis Hawks,Kiel Auditorium,46,0.575,0.6,H. Gallatin,B. Pettit (14.9),#E13A3E,#C4D600
1964-65,St. Louis Hawks,Kiel Auditorium,45,0.563,0.4,H. Gallatin/R. Guerin,Z. Beaty (10.8),#E13A3E,#C4D600
1965-66,St. Louis Hawks,Kiel Auditorium,36,0.45,0.6,R. Guerin,Z. Beaty (10.3),#E13A3E,#C4D600
1966-67,St. Louis Hawks,Kiel Auditorium,39,0.481,0.6,R. Guerin,L. Wilkens (7.6),#E13A3E,#C4D600
1967-68,St. Louis Hawks,Kiel Auditorium,56,0.683,0.4,R. Guerin,Z. Beaty (11.8),#E13A3E,#C4D600
1968-69,Atlanta Hawks,Alexander Memorial Coliseum,48,0.585,0.6,R. Guerin,L. Hudson (10.1),#E13A3E,#C4D600
1969-70,Atlanta Hawks,Alexander Memorial Coliseum,48,0.585,0.6,R. Guerin,L. Hudson (11.1),#E13A3E,#C4D600
1970-71,Atlanta Hawks,Alexander Memorial Coliseum,36,0.439,0.4,R. Guerin,L. Hudson (7.9),#E13A3E,#C4D600
1971-72,Atlanta Hawks,Alexander Memorial Coliseum,36,0.439,0.4,R. Guerin,W. Bellamy (10.3),#E13A3E,#C4D600
1972-73,Atlanta Hawks,Omni Coliseum,46,0.561,0.4,C. Fitzsimmons,L. Hudson (9.3),#E13A3E,#C4D600
1973-74,Atlanta Hawks,Omni Coliseum,35,0.427,0,C. Fitzsimmons,L. Hudson (8.8),#E13A3E,#C4D600
