season,team,arena,wins,winpercent,playoffs,coach,topWS,color1,color2,srs,opponent
1989-90,Minnesota Timberwolves,Hubert H. Humphrey Metrodome,22,0.268,0,B. Musselman,T. Corbin (6.8),#072248,#7AAE37,-3.6,
1990-91,Minnesota Timberwolves,Target Center,29,0.354,0,B. Musselman,P. Richardson (5.9),#072248,#7AAE37,-3.75,
1991-92,Minnesota Timberwolves,Target Center,15,0.183,0,J. Rodgers,D. West (4.6),#072248,#7AAE37,-6.85,
1992-93,Minnesota Timberwolves,Target Center,19,0.232,0,J. Rodgers/S. Lowe,M. Williams (7.6),#072248,#7AAE37,-7.62,
1993-94,Minnesota Timberwolves,Target Center,20,0.244,0,S. Lowe,M. Williams (5.6),#072248,#7AAE37,-6.55,
1994-95,Minnesota Timberwolves,Target Center,21,0.256,0,B. Blair,C. Laettner (6.2),#072248,#7AAE37,-8.22,
1995-96,Minnesota Timberwolves,Target Center,26,0.317,0,B. Blair/F. Saunders,T. Gugliotta (5.3),#072248,#7AAE37,-5.14,
1996-97,Minnesota Timberwolves,Target Center,40,0.488,0.2,F. Saunders,K. Garnett (7.3),#072248,#7AAE37,-1.82,Houston Rockets
1997-98,Minnesota Timberwolves,Target Center,45,0.549,0.2,F. Saunders,K. Garnett (9.6),#072248,#7AAE37,0.17,Seattle SuperSonics
1998-99,Minnesota Timberwolves,Target Center,25,0.5,0.2,F. Saunders,K. Garnett (5.4),#072248,#7AAE37,-0.17,San Antonio Spurs
1999-00,Minnesota Timberwolves,Target Center,50,0.61,0.2,F. Saunders,K. Garnett (11.6),#072248,#7AAE37,2.67,Portland Trail Blazers
2000-01,Minnesota Timberwolves,Target Center,47,0.573,0.2,F. Saunders,K. Garnett (11.8),#072248,#7AAE37,1.81,San Antonio Spurs
2001-02,Minnesota Timberwolves,Target Center,50,0.61,0.2,F. Saunders,K. Garnett (12.8),#072248,#7AAE37,3.58,Dallas Mavericks
2002-03,Minnesota Timberwolves,Target Center,51,0.622,0.2,F. Saunders,K. Garnett (15.6),#072248,#7AAE37,2.46,Los Angeles Lakers
2003-04,Minnesota Timberwolves,Target Center,58,0.707,0.6,F. Saunders,K. Garnett (18.3),#072248,#7AAE37,5.86,Los Angeles Lakers
2004-05,Minnesota Timberwolves,Target Center,44,0.537,0,F. Saunders/K. McHale,K. Garnett (16.1),#072248,#7AAE37,1.73,
2005-06,Minnesota Timberwolves,Target Center,33,0.402,0,D. Casey,K. Garnett (14.9),#072248,#7AAE37,-1.75,
2006-07,Minnesota Timberwolves,Target Center,32,0.39,0,D. Casey/R. Wittman,K. Garnett (10.7),#072248,#7AAE37,-3.16,
2007-08,Minnesota Timberwolves,Target Center,22,0.268,0,R. Wittman,A. Jefferson (7.7),#072248,#7AAE37,-6.26,
2008-09,Minnesota Timberwolves,Target Center,24,0.293,0,R. Wittman/K. McHale,K. Love (5.3),#072248,#7AAE37,-4.74,
2009-10,Minnesota Timberwolves,Target Center,15,0.183,0,K. Rambis,K. Love (4.9),#072248,#7AAE37,-9.06,
2010-11,Minnesota Timberwolves,Target Center,17,0.207,0,K. Rambis,K. Love (11.4),#072248,#7AAE37,-5.97,
2011-12,Minnesota Timberwolves,Target Center,26,0.394,0,R. Adelman,K. Love (10.0),#072248,#7AAE37,-1.83,
2012-13,Minnesota Timberwolves,Target Center,31,0.378,0,R. Adelman,N. Pekovic (6.7),#072248,#7AAE37,-1.83,
2013-14,Minnesota Timberwolves,Target Center,40,0.488,0,R. Adelman,K. Love (14.3),#072248,#7AAE37,3.1,
2014-15,Minnesota Timberwolves,Target Center,16,0.195,0,F. Saunders,G. Dieng (4.9),#072248,#7AAE37,-8,
2015-16,Minnesota Timberwolves,Target Center,29,0.354,0,S. Mitchell,K. Towns (8.3),#072248,#7AAE37,-3.38,
2016-17,Minnesota Timberwolves,Target Center,31,0.378,0,T. Thibodeau,K. Towns (12.7),#072248,#7AAE37,-0.64,
